Name,Birth Date,Death Date,Description,Actor,Author,Musician
Alvy Moore,1921,1997-05-04," , american actor ",True,False,False
Walter Gotell,1924,1997-05-05," , german actor ",True,False,False
Howard Morton,1925,1997-05-11," , american actor ",True,False,False
Laurie Lee,1914,1997-05-13," , english author ",False,True,False
Thelma Carpenter,1922,1997-05-14," , american singer and actress ",True,False,True
Giuseppe De Santis,1917,1997-05-16," , italian film director ",True,False,False
Edward Mulhare,1923,1997-05-24," , irish actor ",True,False,False
Jeff Buckley,1966,1997-05-29," , american musician ",False,False,True
Magda Gabor,1914,1997-06-06," , american actress ",True,False,False
Reid Shelton,1924,1997-06-08," , american actor ",True,False,False
Bulat Okudzhava,1924,1997-06-12," , [[soviet union|soviet]] singer ",False,False,True
Helmut Fischer,1926,1997-06-14," , german actor ",True,False,False
Richard Jaeckel,1926,1997-06-14," , american actor ",True,False,False
Don Henderson,1932,1997-06-22," , british actor ",True,False,False
William Slater Brown,1896,1997-06-23," ,  american novelist, biographer and translator ",False,True,False
Brian Keith,1921,1997-06-24," , american actor ",True,False,False
Israel Kamakawiwo?ole,1959,1997-06-26," , hawaiian singer ",False,False,True
William Hickey (actor)|William Hickey,1927,1997-06-29," , american actor ",True,False,False
Robert Mitchum,1917,1997-07-01," , american actor ",True,False,False
Charles Werner,1909,1997-07-01," , american cartoonist ",False,True,False
James Stewart,1908,1997-07-02," , american actor ",True,False,False
Mrs. Miller,1907,1997-07-05," , american singer ",False,False,True
Royston Tickner,1922,1997-07-07," , english actor ",True,False,False
Sviatoslav Richter,1915,1997-08-01," , ukrainian pianist ",False,False,True
William S. Burroughs,1914,1997-08-02," , american author ",False,True,False
Fela Kuti,1938,1997-08-02," , nigerian musician and political activist ",False,False,True
Conlon Nancarrow,1912,1997-08-10," , american-born composer ",False,False,True
Luther Allison,1939,1997-08-12," , american musician ",False,False,True
Nusrat Fateh Ali Khan,1948,1997-08-16," , pakistani ''qawwali'' musician ",False,False,True
Yuri Nikulin,1921,1997-08-21," , soviet and russian actor and clown ",True,False,False
Sally Blane,1910,1997-08-27," , american actress ",True,False,False
Elisabeth Brooks,1951,1997-09-07," , canadian actress ",True,False,False
Helen Shaw (actress)|Helen Shaw,1897,1997-09-08," , american actress ",True,False,False
Burgess Meredith,1907,1997-09-09," , american actor ",True,False,False
Leonard Maguire,1924,1997-09-12," , scottish actor ",True,False,False
Jimmy Witherspoon,1920,1997-09-18," , american blues singer ",False,False,True
Jack May,1922,1997-09-19," , english actor ",True,False,False
Rich Mullins,1955,1997-09-19," , american musician ",False,False,True
Shirley Clarke,1919,1997-09-23," , american filmmaker ",True,False,False
Jean Françaix,1912,1997-09-25," , french composer ",False,False,True
Walter Trampler,1915,1997-09-27," , german violist ",False,False,True
Arthur Tracy,1899,1997-10-05," , american singer ",False,False,True
Adrienne Hill,1937,1997-10-06," , british actress ",True,False,False
Arch Johnson,1922,1997-10-09," , american actor ",True,False,False
John Denver,1943,1997-10-12," , american musician ",False,False,True
Joyce Compton,1907,1997-10-13," , american actress ",True,False,False
Harold Robbins,1916,1997-10-14," , american writer ",False,True,False
Audra Lindley,1918,1997-10-16," , american actress ",True,False,False
James A. Michener,1907,1997-10-16," , american writer ",False,True,False
Glen Buxton,1947,1997-10-19," , american guitarist ",False,False,True
Ron Tarr,1936,1997-10-20," , english actor ",True,False,False
Bert Haanstra,1916,1997-10-23," , dutch filmmaker ",True,False,False
Don Messick,1926,1997-10-24," , american voice actor ",True,False,False
Tina Lattanzi,1897,1997-10-25," , italian actress ",True,False,False
Paul Jarrico,1915,1997-10-28," , american screenwriter ",False,True,False
Alexander zu Dohna-Schlobitten (1899–1997)|Alexander zu Dohna-Schlobitten,1899,1997-10-29," , german junker, soldier, and author ",False,True,False
Anton Szandor LaVey,1930,1997-10-29," , american author and satanist ",False,True,False
Samuel Fuller,1912,1997-10-30," , american screenwriter and director ",False,True,False
Mohammad-Ali Jamalzadeh,1892,1997-11-08," , iranian author ",False,True,False
Lucien Xavier Michel-Andrianarahinjaka,1929,1997-11-11," , malagasy writer and politician ",False,True,False
Carlos Surinach,1915,1997-11-12," , spanish composer ",False,False,True
Robert Simpson (composer)|Robert Simpson,1921,1997-11-21," , english composer ",False,False,True
Michael Hutchence,1960,1997-11-22," , australian singer-songwriter ",False,True,True
Monique Serf,1930,1997-11-25," , french singer ",False,False,True
Stéphane Grappelli,1908,1997-12-01," , french violinist ",False,False,True
Michael Hedges,1953,1997-12-02," , american composer and guitarist ",False,False,True
Stubby Kaye,1918,1997-12-14," , american actor ",True,False,False
Owen Barfield,1898,1997-12-14," , british philosopher, poet, and critic ",False,True,False
Nicolette Larson,1952,1997-12-16," , american pop singer ",False,False,True
Chris Farley,1964,1997-12-18," , american actor and comedian ",True,False,False
Denise Levertov,1923,1997-12-20," , english-born american poet ",False,True,False
Juzo Itami,1933,1997-12-20," , japanese film director ",True,False,False
Amie Comeaux,1976,1997-12-21," , american country singer ",False,False,True
Stanley Cortez,1908,1997-12-23," , american cinematographer ",True,False,False
Toshiro Mifune,1920,1997-12-24," , japanese actor ",True,False,False
Denver Pyle,1920,1997-12-25," , american actor ",True,False,False
Billie Dove,1903,1997-12-31," , american actress ",True,False,False
Frank Muir,1920,1998-01-02," , british actor, comedy writer and raconteur ",True,True,False
Mae Questel,1908,1998-01-04," , american actress ",True,False,False
Carlo Ludovico Bragaglia,1894,1998-01-04," , italian film director  ",True,False,False
Sonny Bono,1935,1998-01-05," , american singer, actor, and politician ",True,False,True
Michael Tippett,1905,1998-01-08," , english composer ",False,False,True
Ellis Rabb,1930,1998-01-11," , american director and actor ",True,False,False
Phyllis Nelson,1950,1998-01-12," , american singer ",False,False,True
Emil Sitka,1914,1998-01-16," , american actor ",True,False,False
Monica Edwards,1912,1998-01-18," , british writer ",False,True,False
Carl Perkins,1932,1998-01-19," , american guitarist ",False,False,True
Jack Lord,1920,1998-01-21," , american actor ",True,False,False
Alfredo Ormando,1958,1998-01-23," , italian writer ",False,True,False
Shinichi Suzuki (violinist)|Shinichi Suzuki,1898,1998-01-26," , japanese musician and educator ",False,False,True
Ethelreda Leopold,1914,1998-01-26," , american film actress ",True,False,False
Shotaro Ishinomori,1938,1998-01-28," , japanese manga artist ",False,True,False
Fat Pat (rapper)|Fat Pat,1970,1998-02-03," , american rapper ",False,False,True
Carl Wilson,1946,1998-02-06," , american musician ",False,False,True
Falco (musician)|Falco,1957,1998-02-06," , austrian musician ",False,False,True
Lawrence Sanders,1920,1998-02-07," , american author ",False,True,False
Julian Lincoln Simon,1932,1998-02-08," , american economist and author ",False,True,False
Halldór Laxness,1902,1998-02-08," , icelandic writer ",False,True,False
Jonathan Hole,1904,1998-02-11," , american actor ",True,False,False
Bob Merrill,1921,1998-02-17," , american composer and screenwriter ",False,True,True
Ernst Jünger,1895,1998-02-17," , german writer ",False,True,False
Grandpa Jones,1913,1998-02-19," ,  american musician ",False,False,True
Red Reeder,1902,1998-02-22," , u.s. army officer and author ",False,True,False
Sean A. Moore,1965,1998-02-23," , american writer ",False,True,False
J. T. Walsh,1943,1998-02-27," , american actor ",True,False,False
Todd Duncan,1903,1998-02-28," , american opera singer ",False,False,True
Dermot Morgan,1952,1998-02-28," , irish actor and comedian ",True,False,False
Darcy O'Brien,1939,1998-03-02," , american author ",False,True,False
Lloyd Bridges,1913,1998-03-10," , american actor ",True,False,False
Jozef Kroner,1924,1998-03-12," , slovak actor ",True,False,False
Judge Dread,1945,1998-03-12," , english musician ",False,False,True
Benjamin Spock,1903,1998-03-15," , american rower, pediatrician, and author ",False,True,False
George Howard (jazz)|George Howard,1956,1998-03-20," , american jazz saxophone musician ",False,False,True
Daniel Massey (actor)|Daniel Massey,1933,1998-03-25," , english actor ",True,False,False
Gene Evans,1920,1998-04-01," , american actor ",True,False,False
Rozz Williams,1963,1998-04-01," , american singer ",False,False,True
Rob Pilatus,1965,1998-04-02," , german model, dancer, and singer ",False,False,True
Charles Lang,1901,1998-04-03," , american cinematographer ",True,False,False
Cozy Powell,1947,1998-04-05," , english drummer ",False,False,True
Wendy O. Williams,1949,1998-04-06," , american singer ",False,False,True
Tammy Wynette,1942,1998-04-06," , american singer ",False,False,True
Rodney Harvey,1967,1998-04-11," , american actor and model ",True,False,False
Rose Maddox,1925,1998-04-15," , american singer ",False,False,True
Linda McCartney,1941,1998-04-17," , american photographer and musician ",False,False,True
Octavio Paz,1914,1998-04-19," , mexican diplomat and writer ",False,True,False
Irene Vernon,1922,1998-04-21," , american actress ",True,False,False
Wright Morris,1910,1998-04-25," , american photographer and writer ",False,True,False
Joan Mary Wayne Brown,1906,1998-04-26," , british author ",False,True,False
Anne Desclos,1907,1998-04-27," , french writer ",False,True,False
Carlos Castaneda,1925,1998-04-27," , american anthropologist and author ",False,True,False
Kevin Lloyd,1949,1998-05-02," , british actor ",True,False,False
Gene Raymond,1908,1998-05-02," , american actor ",True,False,False
hide (musician)|hide,1964,1998-05-02," , japanese musician ",False,False,True
Eddie Rabbitt,1941,1998-05-07," , american musician ",False,False,True
Marjory Stoneman Douglas,1890,1998-05-14," , american conservationist and writer ",False,True,False
John Derek,1926,1998-05-22," , american actor and film director ",True,False,False
Phil Hartman,1948,1998-05-28," , canadian-born american artist, writer, actor, and comedian ",True,True,False
Darwin Joston,1937,1998-06-01," , american actor ",True,False,False
Dorothy Stickney,1896,1998-06-02," , american actress ",True,False,False
Poul Bundgaard,1922,1998-06-03," , danish actor and singer ",True,False,True
Jeanette Nolan,1911,1998-06-05," , american actress ",True,False,False
Hammond Innes,1914,1998-06-10," , english author ",False,True,False
Catherine Cookson,1906,1998-06-11," , english author ",False,True,False
Theresa Merritt,1924,1998-06-12," , american actress ",True,False,False
Benny Green (saxophonist)|Benny Green,1927,1998-06-22," , british writer, radio broadcaster and saxophonist ",False,True,True
Maureen O'Sullivan,1911,1998-06-23," , irish actress ",True,False,False
Lounès Matoub,1956,1998-06-25," , berber kabyle singer ",False,False,True
Johnny Speight,1920,1998-07-05," , british television scriptwriter ",False,True,False
Roy Rogers,1911,1998-07-06," , american singer and actor ",True,False,True
Joseph Maher,1933,1998-07-17," , irish actor ",True,False,False
Robert Young (actor)|Robert Young,1907,1998-07-21," , american actor ",True,False,False
Hermann Prey,1929,1998-07-22," , german bass-baritone ",False,False,True
Binnie Barnes,1903,1998-07-27," , english actress ",True,False,False
Jorge Russek,1932,1998-07-30," , mexican actor ",True,False,False
Sylvia Field,1901,1998-07-31," , american actress  ",True,False,False
Eva Bartok,1927,1998-08-01," , hungarian actress ",True,False,False
Alfred Schnittke,1934,1998-08-03," , russian-born composer ",False,False,True
Frankie Ruiz,1958,1998-08-09," , puerto rican singer ",False,False,True
Julien Green,1900,1998-08-13," , french-born american writer ",False,True,False
Persis Khambatta,1948,1998-08-18," , indian actress and model ",True,False,False
E. G. Marshall,1914,1998-08-24," , american actor ",True,False,False
Allen Drury,1918,1998-09-02," , american writer ",False,True,False
Fernando Balzaretti,1946,1998-09-05," , mexican actor ",True,False,False
Leo Penn,1921,1998-09-05," , american actor and director ",True,False,False
Akira Kurosawa,1910,1998-09-06," , japanese screenwriter, producer, and director ",False,True,False
Leonid Kinskey,1903,1998-09-08," , russian-born actor ",True,False,False
Lucio Battisti,1943,1998-09-09," , italian singer ",False,False,True
Carl Forgione,1944,1998-09-10," , british actor ",True,False,False
Dane Clark,1912,1998-09-11," , american actor ",True,False,False
Johnny Adams,1932,1998-09-14," , american musician ",False,False,True
Gustav Nezval,1907,1998-09-17," , czech actor ",True,False,False
Mary Frann,1943,1998-09-23," , american actress ",True,False,False
Betty Carter,1929,1998-09-26," , american jazz singer ",False,False,True
Herbert V. Prochnow,1897,1998-09-29," , u.s. banker and author ",False,True,False
Pavel Št?pán,1925,1998-09-30," , czech pianist ",False,False,True
Robert Lewis Taylor,1912,1998-09-30," , american author ",False,True,False
Gene Autry,1907,1998-10-02," , american actor, singer, and sports team owner ",True,False,True
Roddy McDowall,1928,1998-10-03," , british actor ",True,False,False
Richard Denning,1914,1998-10-11," , american actor ",True,False,False
Frankie Yankovic,1916,1998-10-14," , american musician ",False,False,True
Joan Hickson,1906,1998-10-17," , british actress ",True,False,False
Germán List Arzubide,1898,1998-10-19," , mexican poet and revolutionary ",False,True,False
Eric Ambler,1909,1998-10-22," , british writer ",False,True,False
Klári Tolnay,1914,1998-10-27," , hungarian actress ",True,False,False
James Goldman,1927,1998-10-28," , american writer ",False,True,False
Ted Hughes,1930,1998-10-29," , english poet ",False,True,False
Martha O'Driscoll,1922,1998-11-03," , american film actress ",True,False,False
Jean Marais,1913,1998-11-08," , french actor ",True,False,False
Mary Millar,1936,1998-11-10," , british actress ",True,False,False
Lu Ann Mederith,1913,1998-11-12," , american actress ",True,False,False
Valerie Hobson,1917,1998-11-13," , english actress ",True,False,False
Esther Rolle,1920,1998-11-17," , american actress ",True,False,False
Alan J. Pakula,1928,1998-11-19," , american film director ",True,False,False
Flip Wilson,1933,1998-11-25," , american actor and comedian ",True,False,False
Kerry Wendell Thornley,1938,1998-11-28," , american counterculture figure and writer ",False,True,False
Frank Latimore,1925,1998-11-29," , american actor ",True,False,False
Margaret Walker,1915,1998-11-30," , american poet ",False,True,False
Freddie Young,1902,1998-12-01," , american cinematographer ",True,False,False
Michael Craze,1942,1998-12-07," , british actor ",True,False,False
Lynn Strait,1968,1998-12-11," , american singer ",False,False,True
Norman Fell,1924,1998-12-14," , american actor ",True,False,False
William Gaddis,1922,1998-12-16," , american writer ",False,True,False
Irene Hervey,1909,1998-12-20," , american actress ",True,False,False
Roger Avon,1914,1998-12-21," , british actor ",True,False,False
Michelle Thomas,1968,1998-12-22," , american actress ",True,False,False
David Manners,1900,1998-12-23," , canadian-american actor ",True,False,False
Hurd Hatfield,1917,1998-12-26," , american actor ",True,False,False
Keisuke Kinoshita,1912,1998-12-30," , japanese film director ",True,False,False
George Webb (actor)|George Webb,1912,1998-12-30," , british actor ",True,False,False
Michel Petrucciani,1962,1999-01-06," , french jazz pianist and composer ",False,False,True
Fabrizio De André,1940,1999-01-11," , italian singer and songwriter ",False,True,True
Brian Moore (novelist)|Brian Moore,1921,1999-01-11," , irish-born writer ",False,True,False
Gerda Ring,1891,1999-01-21," , norwegian stage actress and stage producer ",True,False,False
Susan Strasberg,1938,1999-01-21," , american actress ",True,False,False
Bar?? Manço,1943,1999-02-01," , turkish singer and television personality ",False,False,True
Jimmy Roberts (singer)|Jimmy Roberts,1924,1999-02-06," , american singer ",False,False,True
Iris Murdoch,1919,1999-02-08," , irish author ",False,True,False
Bryan Mosley,1931,1999-02-09," , english actor ",True,False,False
Heinz Schubert (actor)|Heinz Schubert,1925,1999-02-12," ,  german actor and photographer ",True,False,False
Big L,1974,1999-02-15," , american rapper ",False,False,True
Sunshine Parker,1927,1999-02-17," , american actor ",True,False,False
Noam Pitlik,1932,1999-02-18," , american actor and director ",True,False,False
William Bronk,1918,1999-02-22," , american poet ",False,True,False
Andre Dubus,1936,1999-02-24," , american short-story writer ",False,True,False
Ann Corio,1914,1999-03-01," , american dancer and actress ",True,False,False
Dusty Springfield,1939,1999-03-02," , english singer ",False,False,True
Del Close,1934,1999-03-04," , american actor, writer, and teacher ",True,True,False
Richard Kiley,1922,1999-03-05," , american actor ",True,False,False
John Figueroa,1920,1999-03-05," , jamaican poet ",False,True,False
Stanley Kubrick,1928,1999-03-07," , american film director and producer ",True,False,False
Adolfo Bioy Casares,1914,1999-03-08," , argentine writer ",False,True,False
Yehudi Menuhin,1916,1999-03-12," , american violinist ",False,False,True
Garson Kanin,1912,1999-03-13," , american playwright and screenwriter ",False,True,False
Ernest Gold (composer)|Ernest Gold,1921,1999-03-17," , austrian-born composer ",False,False,True
David Strickland,1969,1999-03-22," , american actor ",True,False,False
David Holliday,1937,1999-03-26," , american actor ",True,False,False
Joe Williams (jazz singer)|Joe Williams,1918,1999-03-29," , american singer ",False,False,True
Lionel Bart,1930,1999-04-03," , english composer ",False,False,True
Bob Peck,1945,1999-04-04," , british actor ",True,False,False
Faith Domergue,1924,1999-04-04," , american actress ",True,False,False
Jean Vander Pyl,1919,1999-04-10," , american television actress ",True,False,False
Boxcar Willie,1931,1999-04-12," , american country music singer ",False,False,True
Ellen Corby,1911,1999-04-14," , american actress ",True,False,False
Anthony Newley,1931,1999-04-14," , english actor, singer and songwriter ",True,True,True
"Charles ""Buddy"" Rogers",1904,1999-04-21," , american silent film actor ",True,False,False
Herman Miller (writer)|Herman Miller,1919,1999-04-25," , american screenwriter and producer ",False,True,False
Roger Troutman,1951,1999-04-25," , american funk musician ",False,False,True
Adrian Borland,1957,1999-04-26," , british musician and producer ",False,False,True
Al Hirt,1922,1999-04-27," , american trumpeter and bandleader ",False,False,True
Rory Calhoun,1922,1999-04-28," , american television and film actor ",True,False,False
Oliver Reed,1938,1999-05-02," , english actor ",True,False,False
Dana Plato,1964,1999-05-08," , american actress ",True,False,False
Soeman Hs,1904,1999-05-08," , indonesian author and educator ",False,True,False
Dirk Bogarde,1921,1999-05-08," , english actor ",True,False,False
Shel Silverstein,1930,1999-05-10," , american author and poet ",False,True,False
Saul Steinberg,1914,1999-05-12," , romanian-born cartoonist ",False,True,False
Henry Jones (actor)|Henry Jones,1912,1999-05-17," , american actor ",True,False,False
Candy Candido,1913,1999-05-19," , american voice actor ",True,False,False
Alister Williamson,1918,1999-05-19," , australian actor ",True,False,False
Mel Tormé,1925,1999-06-05," , american singer ",False,False,True
Anne Haddy,1930,1999-06-06," , australian actress ",True,False,False
Maurice Journeau,1898,1999-06-09," , french composer ",False,False,True
DeForest Kelley,1920,1999-06-11," , american actor ",True,False,False
Buster Merryfield,1920,1999-06-23," , british actor ",True,False,False
Fred Feast,1929,1999-06-25," , english actor ",True,False,False
Siegfried Lowitz,1914,1999-06-27," , german television actor ",True,False,False
Guy Mitchell,1927,1999-07-01," , american singer ",False,False,True
Dennis Brown,1957,1999-07-01," , jamaican reggae singer ",False,False,True
Sylvia Sidney,1910,1999-07-01," , american actress ",True,False,False
Edward Dmytryk,1908,1999-07-01," , american film director ",True,False,False
Mario Puzo,1920,1999-07-02," , american author ",False,True,False
Jack Watson (actor)|Jack Watson,1915,1999-07-04," , english actor ",True,False,False
Joaquín Rodrigo,1901,1999-07-06," , spanish composer ",False,False,True
Julie Campbell Tatham,1908,1999-07-07," , american writer ",False,True,False
Helen Forrest,1917,1999-07-11," , american jazz singer ",False,False,True
Carolyn Bessette-Kennedy,1966,1999-07-16," , american actress and model (killed in plane crash) ",True,False,False
Jerold Wells,1908,1999-07-19," , english actor ",True,False,False
Sandra Gould,1916,1999-07-20," , american actress ",True,False,False
Anita Carter,1933,1999-07-29," , american singer ",False,False,True
Rajendra Kumar,1929,1999-07-29," , indian film actor, producer and director ",True,False,False
Nirad C. Chaudhuri,1897,1999-08-01," , bengali writer ",False,True,False
Willie Morris,1934,1999-08-02," , american writer ",False,True,False
